OCCU_DESC,WK_TYPE,CJOB_TYPE,CJOB_NAME1,CJOB_NO,CJOB_NAME2,AVAILREQNUM,STOP_DATE,JOB_DETAIL,CITYNAME,EXPERIENCE,WKTIME,SALARYCD,SALARY_L,SALARY_U,EDGRDESC,URL_QUERY,COMPNAME,TRANDATE
"水電學徒",全職,11,營建／製圖／施作,110302,水電配線技術員,10,20220614,"1. 協助師傅執行水電工程配管配線、高低壓電力配管配電工程2. 協助師傅進行水電工程施工、電路維修及電氣設備安裝3.協助師傅器具設備安裝",台北市南港區,無,日班,日薪,1600,1800,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1064794&HIRE_ID=11121291","晨新工程有限公司",20220414
"一般行政會計助理-無誠勿試",全職,04,財務／金融／保險,040108,會計助理,1,20220625,"從事財務報表處理記錄、會計交易紀錄及代理營業場所帳籍登錄與計算、收付款與開立扣繳或免扣繳憑單等工作，以及從事現金出納，並登記現金交易事項以及主管交辦事項。.請提供完整的履歷投遞後建議電聯。",台北市文山區,無,日班,月薪,25250,25250,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=130592&HIRE_ID=11144845","昱泰機電技術顧問股份有限公司",20220425
"【大夜班-設備工程師】",全職,07,工程／研發／生技,070121,電機工程師,1,20220613,"1.停車場現場軟硬體設備設置、設定、運作檢查和保養2.對應及排除停車場營運之緊急狀況（電話對應或現場對應）3.下班輪值時遇狀況需緊急電話對應或現場對應4.與相關業者交涉及工程發包、監督5.停車場基本清潔◎採固定夜班(22:00-08:00)◎平均月休12天◎基本採做四休二輪值◎薪資含夜班津貼，不含加班費◎公司福利及升遷制度佳◎適合不喜歡整天待在辦公室的人",台北市中山區,無,日班,月薪,40000,55000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2369735&HIRE_ID=11118055","台灣普客二四股份有限公司",20220413
"【無業績壓力，月36K，另有季獎金】外勤服務專員",全職,02,業務／貿易／銷售,020103,業務助理,50,20311219,"★每月36000元，另加季獎金最高12，000元，額外還有租賃獎勵金★無須產業相關經驗，無業績壓力，輔導考取不動產營業證照★月排休8-9天，工作8小時，彈性三班制(可排9點、10點、13點上班)★以外勤工作為主，須具備機車駕照及機車★完整教育訓練，一對一師徒制與線上數位課程★福利制度優，享勞健保，生日三節禮金/券，旅遊津貼工作內容：1. 租賃服務及社會住宅推動2. 不動產陌生開發及回訪3. 協助社區與里民活動辦理4. 執行客戶電話關係維護5. 協助業務執行客戶服務",台北市不限,無,日班、夜班、中班,月薪,36000,40000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=96020&HIRE_ID=10889879","永慶房屋仲介股份有限公司",20211227
"機構工程師/助理工程師(安穩僱用計畫2.0)",全職,07,工程／研發／生技,070204,機構工程師,1,額滿為止,"1.負責產品機構設計與結構評估。2.負責產品外型與包裝設計。3.負責機構材料的測試與選用。4.繪製機構設計圖面。5.負責模具設計、開模、試模，並檢討、修改模具。6.實際待遇視學歷、經驗而定。，",台北市北投區,無,日班,月薪,30000,45000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=87076&HIRE_ID=11218305","太平洋醫材股份有限公司",20220531
"SUKIYA正職人員 ■無經驗可「此為線上就業博覽會」",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,20,20220615,"1.客人服務與招呼2.店舖經營管理3.員工教育管理111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,無,日班,月薪,31000,66000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1194290&HIRE_ID=11227321","台灣善商股份有限公司",20220602
"myBRA台北百貨專櫃人員/專業服務美胸師—myBRA",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,20220608,"第一個月教育訓練30000，薪資結構為28000  考核過獎金2000另計(未考核不核發)若不是月初來報到則以上班比例給薪做計算第二個月考核過起薪31000 業績獎金另計第三個月正職起薪35000 業績獎金另計1.負責內衣銷售相關事宜，提供顧客接待與諮詢需求服務。2.商品陳列、布置、維護3.店務事項處理 : 報表、行政庶務、環境整潔4.喜愛內衣及熱於顧客經營，定期關心、追蹤顧客，提供客製化售後服務。5.態度誠懇親切，活潑大方6.向顧客說明貨品的性質、特徵、品質與價格7.協助顧客對於內衣品類有關的資訊8.共同維護品牌形像",台北市大安區,無,輪班二班制,月薪,28000,70000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2398171&HIRE_ID=10994985","禾荃國際有限公司",20220303
"外場兼職人員(此為線上就業博覽會)",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,50,20220615,"1.基層的服務工作，各工作站作業開始學習起。2.負責客人帶位、倒水、點餐等工作。3.顧客服務滿意度提昇，學習。4.工作區域整理&清潔。111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,無,輪班三班制,時薪,168,208,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=516228&HIRE_ID=11198775","雲雀國際股份有限公司",20220518
"【臺北】 秀咖啡 會計專員(此為線上就業博覽會)",全職,04,財務／金融／保險,040105,會計/出納/記帳人員,1,20220615,"1.審查費用支出文件及憑證，以符合公司及相關法令規定2.處理廠商貨款或費用等應收付帳務3.能獨立處理進銷存作業4.協助財務報表及相關管理報表編製5.配合事務所查帳工作6.其他主管交辦事項 工作具備條件：1.熟悉葆光會計系統尤佳2.具良好溝通能力3.具團隊向心力111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市中山區,2年以上,日班,月薪,32000,36000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=917054&HIRE_ID=11185619","派帝娜實業股份有限公司",20220512
"照顧服務員(此為線上就業博覽會)",全職,17,醫療／美容／保健,170113,照顧服務員,1,20220615,"1. 執行入托長者，日常生活自理、安全看顧協助理事宜2. 長者活動設計及帶領工作時間：五班制：早班：早上7點半-下午4點半、中班：早上8點半-下午5點半、晚班：早上9點-下午6點、早上9點半-下午6點半、上午10點-下午7點111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市松山區,無,,月薪,29000,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=37570&HIRE_ID=11227029","財團法人弘道老人福利基金會",20220602
"維運工程師",全職,08,資訊／軟體／系統,080303,系統操作人員,1,20220630,"1. 客戶端定期維護 / 叫修處理 / 非臨時性叫修處理2. 客戶端裝機作業 / 配合售前客戶端測試裝機作業 3. 網通產品/資訊軟體安裝(含維運) 4. 配合公司專案需求至客戶端駐點服務 5. 解決客戶對電腦軟、硬體、伺服器、儲存系統、防火牆與週邊設備使用時的突發狀況及系統維護，",台北市中山區,1年以上,日班,月薪,30000,36000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=396726&HIRE_ID=11195131","優勢資訊科技服份有限公司",20220517
"誠徵:家電維修(空調冷凍，電視維修)維修專員-大台北地區，意者直接電洽手機:0911897046",全職,10,技術／維修／操作,100104,空調冷凍技術人員,2,20220618,"1.空調冷凍相關科系畢業優。 2.具備家電維修經驗者優先錄取。 3.電子相關科系可接受培訓者。 4.家電商品(電視機、冷氣機、電冰箱‧‧‧‧)售後維修服務。 5.其它主管交辦事項。，",台北市南港區,無,日班,月薪,28300,34700,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=114591&HIRE_ID=11127881","瑞林科技服務股份有限公司",20220418
"外場正職人員【信義站6/23(四)14:00-16:00現場徵才活動】",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,20,20220624,"1. 負責帶位、倒水、點餐，餐點介紹、送餐等工作2. 提供桌邊服務，提早發現客人需求，並提供服務3. 於客人用餐完畢後，負責收拾餐具，與清理環境、設桌維持店內清潔4. 依公司規定及原則處理客訴，達成上級主管交辦事項、不定期向主管反應問題及提出建議方案5. 訓練並帶領PT同仁，完成每日工作6. 叫貨，確保店內安全庫存，盤點，貨款記錄，清潔記錄【信義站6/23(四)14:00-16:00現場徵才活動】",台北市信義區,無,輪班二班制,月薪,30000,35000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1185664&HIRE_ID=11216551","薄多義餐飲有限公司",20220530
"內場備菜/傳菜品檢員、大夜班 內場備菜/傳菜品檢員(0512線上徵才)",全職,16,旅遊／餐飲／休閒,160206,廚師助理,60,額滿為止,"內場備菜員：擺盤傳菜、食材準備、食材調理、廚房清理及維護環境等。傳菜品檢員：配鍋、傳送湯鍋、回收餐具、送菜盤、整理餐桌與環境等。排班制，依各門店營業時間需求安排。大夜班另有夜班津貼2,500~4,000元",台北市萬華區,無,日班、夜班、輪班二班制,月薪,33000,36000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2246261&HIRE_ID=11149407","海底撈火鍋股份有限公司",20220510
"【展店徵才】AIR SPACE 南港Citylink-專櫃人員",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,3,20220630,"1.提供客戶商品介紹、銷售與服務。2.協助門市形象佈置、商品陳列、庫存管理。3.客戶關懷維護。4.門市店務經營、推動店業績目標達成與相關行政作業。5.須配合門市輪調與支援。",台北市南港區,無,日班、中班,月薪,28000,35000,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2412285&HIRE_ID=10707157","新地國際股份有限公司 ",20211220
"國立臺北教育大學幼兒與家庭教育學系 徵聘111學年度第2學期專任助理教授級(含)以上教師1名",全職,14,教育／學術／研究,140201,教授／副教授／助理教授,1,20220630,"凡具有大專院校教授、副教授、助理教授的身分，從事大專院校教學、研究與推廣的工作。，教學研究，",台北市大安區,無,日班,月薪,60000,70000,博士,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=415956&HIRE_ID=11207091","國立臺北教育大學",20220524
"行政老師【遞補職場學習在適應計畫 111年5/12至6/10止】",全職,01,經營／行政／總務,010206,行政助理,1,20220610,"協助行政文書事務、講義編撰【遞補職場學習在適應計畫 111年5/12至6/10止】",台北市文山區,無,日班、中班,月薪,26000,,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2457427&HIRE_ID=11185063","台北市私立立行文理短期補習班靜心分班",20220512
"清潔人員（由銀髮人才據點刊登）",全職,19,清潔／家事／托育(保母),190102,清潔工／資源回收人員,2,20220628,"家禽市場工作時間: 上午0700至1200工作事項：市場地板清洗",台北市萬華區,無,日班,月薪,25500,28000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2364515&HIRE_ID=11204687","運達環境管理顧問有限公司",20220525
"【中央廚房】內場_廚務人員",全職,16,旅遊／餐飲／休閒,160206,廚師助理,3,額滿為止,"1.熟中西式料理及依據工作指令單烹煮  2.有駐點團膳或大型便當廠經驗者尤佳  3.清理以及保養設備環境清潔維護  4.肉品切割、加工調料、包裝。 5.倉庫貨品盤點、倉庫清潔維持、倉庫紀錄保存。 6.良好的衛生清潔習慣。 7.主管交辦事項 8.可配合公司調度9.如有餐飲廚師證書者佳",台北市內湖區,1年以上,,月薪,30000,35000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2410547&HIRE_ID=11142561","軒饌廚坊股份有限公司",20220422
"大樓管理員",全職,18,保全／軍警消,180102,大樓管理員,1,20220615,"大樓管理、警衛",台北市大安區,無,日班、夜班、輪班三班制、中班,月薪,25300,25300,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2422485&HIRE_ID=11058707","國泰世華銀行大樓管理委員會",20220316
"教師教保員",全職,14,教育／學術／研究,140102,幼教老師,3,額滿為止,"具備教師資格，在幼教場所擔任教師，設計與執行促進兒童語言、身心、體格發展的各種教學活動。",台北市南港區,無,日班,月薪,30300,39000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2307465&HIRE_ID=11189007","臺北市私立大方凌雲幼兒園",20220514
"《6/16艋舺站小徵》【肉次方】 廚藝助理",全職,16,旅遊／餐飲／休閒,160206,廚師助理,10,20220616,"1. 內場相關事務(具刀  工、餐飲丙級尤佳)2. 簡易餐點協作【6/16(四) 下午2:00-4:00 ,艋舺站辦理微型現場徵才活動】",台北市萬華區,無,輪班二班制,月薪,32000,37000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=99538&HIRE_ID=11221619","王品餐飲股份有限公司",20220601
"【安穩僱用】專案設計師(台北分公司)",全職,11,營建／製圖／施作,110104,室內設計師,1,20220630,"從事建築專案設計師具專案執行經驗- 建築系或室內設計學系，大學畢業以上學歷- 熟悉電腦軟體AutoCAD， SketchUp以及Photoshop的操作- 具相關經驗二年以上。以下條件者佳１、具外語能力。２、檢附過往作品集或提供相關作品網址。——————我們是ZUO Studio 坐設計事務所，於台中成立至今12年。團隊主要執行建築與室內整合設計工作，並於台灣、香港、中國、柬埔寨等海外國家進行設計工作，建築事務從國際競圖、公共建築、企業廠辦、辦公空間、私人住宅；至室內的住宅空間、商業空間、大樓公設、樣品屋等全方位設計範圍。期許透過組織新的工作夥伴，未來能成就更多元的作品。物內部之空間、設備、動線之規劃及監督施工等工作。",台北市大安區,2年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2434969&HIRE_ID=10751429","人人土設計事業有限公司",20211020
"網頁(微電影、投影片、簡報).設計、教育、訓練.",全職,05,廣告／公關／設計,050302,電腦繪圖美工人員,2,20231231,"網頁(微電影、投影片、簡報)、設計、教育、訓練、",台北市內湖區,3年以上,日班,月薪,25250,35000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=384895&HIRE_ID=8785873","中國新聞教育有限公司",20210813
"儲備店長",全職,01,經營／行政／總務,010105,儲備幹部,5,20220802,"#14 ★◎◎◎1.傢飾商品的銷售：商品介紹及銷售門市商品。2.店面維護：商品陳列擺設、店務管理。3.客戶關係：客戶接待與服務、顧客關係經營。4.到府丈量設計規劃。5.需配合輪班及輪調。6.需自備交通工具(機車或汽車)。",台北市不限,無,日班、中班,月薪,28000,30000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=54078&HIRE_ID=11226811","大成鋼隆美家居股份有限公司",20220602
"日間櫃台人員",全職,16,旅遊／餐飲／休閒,160104,櫃檯服務人員,1,額滿為止,"在飯店／旅館櫃檯接待旅客，協助旅客辦理住房與退房的登記，並提供旅館、觀光等的諮詢服務。",台北市大安區,無,中班,月薪,31000,33000,高中,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2347973&HIRE_ID=11116515","新北歐輕旅股份有限公司",20220412
"櫃台收銀員",全職,06,客服／門市,060204,售票／收銀人員,2,20220723,"結賬收錢工作地點:萬華區 **意者請親洽面試；",台北市萬華區,無,日班、夜班、輪班二班制、輪班三班制、中班,月薪,29000,31000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=152085&HIRE_ID=11204917","港九香滿樓餐廳股份有限公司",20220523
"應用工程師助理",全職,02,業務／貿易／銷售,020103,業務助理,2,20220709,"協助業務人員執行業務推廣，完成銷售工作，並執行業務相關的行政、後勤工作。",台北市大安區,無,日班,月薪,30000,40000,大學,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=548208&HIRE_ID=11174229","泰又科技股份有限公司",20220509
"餐飲服務人員",全職,16,旅遊／餐飲／休閒,160207,餐飲服務及接待員,8,額滿為止,"""1、親切的服務與接待顧客2、	門市環境清潔維護及外送服務3、	櫃台服務、收銀、飲品製作、麵包包裝、蛋糕包裝4、	依照標準程序製作各項餐點5、	門市環境清潔維護及外送服務6	門市營運物料訂貨、物料效期巡視、貨間管理""此為『海洋科技大學』線上徵才活動職缺，活動時間為111/05/24~111/06/06有意應徵者，請至新北人力網活動頁面-點選附件下載『新北就服處-求職履歷表』，👉網址連結 https://reurl.cc/anLoRl填寫完畢後，請以電子郵件並標註應徵「廠商名稱」及「應徵職缺」，將履歷表投遞三重就業服務站代收履歷電子信箱 al3020@ntpc.gov.tw",新北市不限,無,日班、中班,月薪,27000,,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1082526&HIRE_ID=11205433","美食達人股份有限公司台北分公司",20220523
"安裝組裝師父",全職,10,技術／維修／操作,100304,木製品技術人員,2,20231030,"從事自動或半自動木工機器，如木、竹、藤等之鋸機、花刨機、鑽孔機、刨機、車床、作榫機、砂光機或NC機械、木雕機等之操作及監控工作。",台北市不限,無,日班,月薪,35000,40000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2309851&HIRE_ID=11025833","瑞展不銹鋼廚具有限公司",20220302
"榮總打蠟人員",全職,19,清潔／家事／托育(保母),190104,環境清潔工,3,額滿為止,"負責公共區域環境的打蠟工作。",台北市北投區,無,日班,月薪,28000,35000,不拘,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2296191&HIRE_ID=11126261","第一社會企業股份有限公司",20220415
"Operations Manager／營運經理（日文）(此為線上就業博覽會)",全職,01,經營／行政／總務,010101,經營管理主管,1,20220615,"Responsibilities：- Oversee and direct the activities of a number of campaigns along with all Operations Managers, Team Leaders, and Staff assigned to his campaigns.- Responsible for a wide spectrum of responsibilities and must be able to multitask with ease and proficiency.- Responsible for regular and often daily interactions with all the company departments／ campaign team leaders and the whole management team. Maintain open line of communication between staff and senior management.- Manages and staffs the operations assigned.- Responsible for all aspects of operations which include but not limited to monitoring operations staffing, provide temporary coverage and training; provision of excellent clientele service, problem resolution and the like.- Develop individual & team goals and implement the plan to carry out objectives.- Ensure compliance with all established policies and procedures.- Assist the Operations Director in crafting operations procedures.111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市中山區,2年以上,日班,依學經歷、證照核薪(每月經常性薪資達4萬元以上),,,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2413437&HIRE_ID=11171015","美商泰優股份有限公司",20220506
"門市兼職人員(台北市)(此為線上就業博覽會)",全職,06,客服／門市,060203,專櫃／門市（人員／儲備幹部）,100,20220615,"1.門市營運。2.顧客服務。3.外送服務。（須備有普通重型機車駕照）111年5月1日~6月15日「OKWORK‧畢業季」線上就業博覽會線上履歷投遞開放時間：即日起至 111年6月15日止洽詢電話：02-2338-0277想要知道更多活動資訊詳情請查詢 www.okwork.taipei",台北市不限,無,日班、中班,時薪,180,,高職,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=12372&HIRE_ID=11227797","達美樂披薩股份有限公司",20220602
"日文採購營業人員",全職,15,物流／運輸／資材,150303,採購人員,1,20220718,"◆採購業務担当（調達製品は半導体や車載用液晶パネルや電子部品など）。◆台湾のサプライヤーから部品や完成品を購入し、顧客（三菱の各製作所や関係会社）に供給しているので、顧客とサプライヤーと品質、価格、納期などを調整、交涉する。◆JLPT N1。◆購買や営業の業務経験を持ち、日本語を使った交渉や調整を行うこと。◆英日文佳，有採購或業務經驗者佳",台北市士林區,無,日班,月薪,39000,55000,專科,"https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=149897&HIRE_ID=11198813","台灣三菱電機股份有限公司",20220518
